case,Year,R.mth,date,Country_residence,City_residence,Purpose_grp,Purpose,Air_Terminal,Sea_Terminal,Land_Terminal,langint,1st_visit,length_stay,travel_type,f1_gender,f3_occupation,f4_industry,f5_designation,f5_designation.oth,totacc_$,totfnb_$,tottran_$,totbiz_$,totedu_$,totmedi_$,tototh_$,totshopping_$,MainAccomm,MainHotel,travel_companion.1,travel_companion.2,travel_companion.3,travel_companion.4,travel_companion.5
18,2015,January,1-Jan-15,Indonesia,Yogyakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,4 days,Non-Packaged,Male,"Businessman (small company, <50 people)",Marketing & Media,Director, ,153.23,76.61,11.49,0,0,0,0,854.85,Hotel,V Hotel Lavender,Spouse,Children aged 8-12 yrs,,,
41,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,2 days,Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Electronics & Precision Engineering,Others (specify),Engineer,155.74,24.85,27.2,0,0,0,0,171.52,Hotel,Madras Hotel,Spouse,Children aged 0-7 yrs,Friends,,
43,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,3 days,Non-Packaged,Female,Homemaker (Full time),,, ,148.15,139.77,27.95,0,0,0,0,104.85,Hotel,Hotel 81 - Geylang,Spouse,Children aged 8-12 yrs,,,
44,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Others,,HCC,,English,No,1 day,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Transportation and Logistics,Others (specify),Accountant,0,143.76,14.38,0,0,0,0,220.85,Accommodation not required - Others,,Partner/ Boyfriend/ Girlfriend,Parents/ Parents-in-law,Siblings,,
45,2015,January,1-Jan-15,Indonesia,Batam,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,HCC,,English,No,1 day,Packaged,Male,Student,,, ,153.23,45.97,38.31,0,0,0,0,104.85,Hotel,Hotel 81 - Bencoolen,Parents/ Parents-in-law,Siblings,,,
46,2015,January,1-Jan-15,Indonesia,Bengkulu,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,Student,,, ,0,94.34,31.45,0,0,0,0,164.85,Accommodation not required - Others,,Parents/ Parents-in-law,Other relatives,Siblings,,
47,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Fincial and Insurance Activities,Junior Executive, ,65.41,50.32,42.77,0,0,0,0,119.85,Hostel (Rental by bed),,Friends,,,,
49,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Female,"Businessman (small company, <50 people)",Wholesale and Retail Trade,Others (specify),Owner,0,25.16,25.16,0,0,0,0,114.85,Stayed with relatives/ friends,,Friends,,,,
50,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,3 days,Non-Packaged,Female,Homemaker (Full time),,, ,86.33,139.77,55.91,0,0,0,0,104.85,Hotel,Hotel 81 - Geylang,Spouse,Children aged 8-12 yrs,,,
51,2015,January,1-Jan-15,Indonesia,Tanjung Pinang,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Fincial and Insurance Activities,Junior Executive, ,50.32,62.9,25.16,0,0,0,0,114.85,Hostel (Rental by bed),,Friends,,,,
52,2015,January,1-Jan-15,Indonesia,Tanjung Pinang,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Electronics & Precision Engineering,Junior Executive, ,150.95,251.58,83.86,0,0,0,0,271.52,Hotel,Hotel Clover (Not Specified),Parents/ Parents-in-law,,,,
53,2015,January,1-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,3 days,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",InfoComm Technology,Others (specify),Programmer,189.76,102.15,51.08,0,0,0,0,244.85,Hotel,Bay Hotel Singapore,Alone,,,,
54,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Others,,HCC,,English,No,1 day,Non-Packaged,Male,"Executive (sales, administration)",Construction,Junior Executive, ,0,17.61,30.19,0,0,0,0,124.85,Stayed with relatives/ friends,,Siblings,,,,
55,2015,January,1-Jan-15,Indonesia,East Java,Leisure,Holiday/ Rest & Relax,,HCC,,English,Yes,1 day,Packaged,Female,Student,,, ,77.87,33.87,13.6,0,0,0,0,148.85,Hotel,Fragrance Hotel - Classic,Others,,,,
56,2015,January,1-Jan-15,Indonesia,Lampung,Leisure,Visiting friends/relatives,,HCC,,English,No,5 days,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,0,100.63,0,0,0,0,0,171.52,Stayed with relatives/ friends,,Children aged 8-12 yrs,Siblings,,,
57,2015,January,1-Jan-15,Indonesia,Batam,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,HCC,,Chinese,No,Under 1 day,Non-Packaged,Male,"Businessman (medium size company, 50 -250 people)",Manufacturing and Chemicals,Director, ,0,9.19,33.71,0,0,0,0,104.85,Accommodation not required - Day Tripper,,Friends,,,,
58,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,3 days,Packaged,Male,Student,,, ,233.61,37.27,40.81,0,0,0,0,124.85,Hotel,Hotel 81 - Balestier,Parents/ Parents-in-law,Siblings,,,
59,2015,January,1-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Environment and Energy,Others (specify),Accountant,75.47,17.61,12.58,0,0,0,0,134.85,Hostel (Rental by bed),,Friends,,,,
60,2015,January,1-Jan-15,Indonesia,Palembang,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,HCC,,English,No,Under 1 day,Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,0,6.21,6.8,0,0,0,0,146.85,Accommodation not required - Day Tripper,,Others,,,,
61,2015,January,1-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,5 days,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Defence and Security,Clerk/ Secretary/ Persol Assistant, ,275.81,88.87,12.26,0,0,0,0,"1,104.85",Hotel,Ibis Singapore on Bencoolen,Spouse,,,,
62,2015,January,1-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,4 days,Non-Packaged,Male,Student,,, ,129.97,0,0,0,0,0,0,104.85,Hotel,Ibis Singapore on Bencoolen,Parents/ Parents-in-law,Siblings,,,
63,2015,January,1-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,5 days,Non-Packaged,Female,"Businessman (small company, <50 people)",Healthcare and Biomedical Sciences,Others (specify),Owner,0,20.43,4.09,0,0,0,0,204.85,Stayed with relatives/ friends,,Spouse,Children aged 8-12 yrs,,,
118,2015,January,2-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,3 days,Non-Packaged,Male,Others (specify),"Design related activities (e.g. architecture, interior, product, graphic design etc)",Others (specify),Designer,"1,094.53",102.15,12.26,0,0,0,0,249.85,Hotel,Hotel Michael,Alone,,,,
153,2015,January,2-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,4 days,Non-Packaged,Female,Homemaker (Full time),,, ,153.23,0,19.15,0,0,0,0,604.85,Hotel,Orchid Hotel,Spouse,Children aged 20-39 yrs,,,
154,2015,January,2-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,8-10 days,Non-Packaged,Female,Homemaker (Full time),,, ,255.38,61.29,15.32,0,0,0,0,404.85,Hotel,Holiday Inn Singapore Orchard City Centre,Spouse,Children aged 8-12 yrs,,,
182,2015,January,3-Jan-15,Indonesia,Yogyakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,3 days,Non-Packaged,Male,Student,,, ,153.23,40.86,45.97,0,0,0,0,154.85,Hotel,Fragrance Hotel - Selegie,Siblings,,,,
184,2015,January,3-Jan-15,Indonesia,Kalimantan,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,3 days,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)","Hospitality, Travel & Tourism",Others (specify),Accountant,78.87,122.58,20.43,0,0,0,0,404.85,Hotel,Fragrance Hotel - Bugis,Siblings,Friends,,,
203,2015,January,3-Jan-15,Indonesia,Bandung,Leisure,To take or join a regional or international cruise,,MBCCS,,English,No,Under 1 day,Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)","Design related activities (e.g. architecture, interior, product, graphic design etc)",Others (specify),Fashion designer,0,0,27.58,0,0,0,0,104.85,Accommodation not required - On-board Cruise,,Friends,,,,
205,2015,January,3-Jan-15,Indonesia,Jakarta,Leisure,To take or join a regional or international cruise,,MBCCS,,Chinese,No,1 day,Packaged,Male,Retired,,, ,0,12.42,0,0,0,0,0,104.85,Stayed with relatives/ friends,,Spouse,Children aged 20-39 yrs,,,
206,2015,January,3-Jan-15,Indonesia,Jakarta,Leisure,To take or join a regional or international cruise,,MBCCS,,English,No,Under 1 day,Packaged,Male,"Businessman (small company, <50 people)",Transportation and Logistics,CEO/ Assistant CEO, ,0,0,22.98,0,0,0,0,140.85,Accommodation not required - On-board Cruise,,Spouse,Children aged 0-7 yrs,Children aged 13-19 yrs,,
208,2015,January,3-Jan-15,Indonesia,Medan,Leisure,Holiday/ Rest & Relax,,MBCCS,,English,No,Under 1 day,Packaged,Female,"Businessman (small company, <50 people)",Wholesale and Retail Trade,Others (specify),Owner,0,6.21,7.66,0,0,0,0,104.85,Accommodation not required - On-board Cruise,,Parents/ Parents-in-law,Siblings,,,
255,2015,January,3-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 2,,,English,No,8-10 days,Non-Packaged,Female,"Mager (CEO, company director, senior mager)",Wholesale and Retail Trade,Director, ,612.91,76.61,38.31,0,0,0,0,404.85,Hotel,Mandarin Orchard Singapore,Spouse,,,,
259,2015,January,3-Jan-15,Indonesia,Lombok,Leisure,Holiday/ Rest & Relax,Terminal 2,,,English,No,4 days,Non-Packaged,Male,"Businessman (small company, <50 people)",Construction,Others (specify),Owner,383.07,91.94,45.97,0,0,0,0,704.85,Hotel,River View Hotel,Parents/ Parents-in-law,Siblings,,,
260,2015,January,3-Jan-15,Indonesia,Bali,Leisure,Holiday/ Rest & Relax,Terminal 2,,,English,No,6 days,Non-Packaged,Female,Homemaker (Full time),,, ,293.69,27.5,7.86,0,0,0,0,248.6,Hotel,Concorde Hotel Singapore,Children aged 20-39 yrs,Children aged 13-19 yrs,Other relatives,,
280,2015,January,3-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,7 days,Non-Packaged,Female,Homemaker (Full time),,, ,328.35,43.78,8.76,0,0,0,0,434.85,Hotel,Amara Singapore,Spouse,Children aged 8-12 yrs,Children aged 13-19 yrs,,
282,2015,January,3-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,3 days,Non-Packaged,Male,Student,,, ,229.84,119.18,27.24,0,0,0,0,218.19,Hotel,Ramada Singapore at Zhongshan Park,Parents/ Parents-in-law,Siblings,,,
283,2015,January,3-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,5 days,Non-Packaged,Male,"Mager (CEO, company director, senior mager)",Construction,Director, ,612.91,40.86,25.54,0,0,0,0,621.52,Hotel,Festive Hotel,Spouse,Parents/ Parents-in-law,Siblings,,
312,2015,January,4-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,4 days,Non-Packaged,Female,Student,,, ,116.69,86.19,19.15,0,0,0,0,604.85,Hotel,River View Hotel,Parents/ Parents-in-law,Siblings,,,
325,2015,January,4-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,3 days,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Transportation and Logistics,Clerk/ Secretary/ Persol Assistant, ,105.15,61.29,25.54,0,0,0,0,164.85,Hotel,Hotel 81 - Bugis,Friends,,,,
348,2015,January,4-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Fincial and Insurance Activities,Others (specify),Banker,419.3,125.79,16.77,0,0,0,0,138.19,Hotel,Grand Hyatt Singapore,Spouse,Children aged 13-19 yrs,,,
349,2015,January,4-Jan-15,Indonesia,Tanjung Balai,Leisure,Visiting friends/relatives,,HCC,,English,No,2 days,Non-Packaged,Male,Others (specify),Public Administration,Others (specify),Civil servant,0,188.69,25.16,0,0,0,0,139.85,Stayed with relatives/ friends,,Alone,,,,
351,2015,January,4-Jan-15,Indonesia,Batam,Leisure,Visiting friends/relatives,,HCC,,English,No,1 day,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,0,0,50.32,0,0,0,0,134.85,Stayed with relatives/ friends,,Alone,,,,
352,2015,January,4-Jan-15,Indonesia,Pekan Baru,Leisure,Holiday/ Rest & Relax,,HCC,,English,Yes,1 day,Non-Packaged,Male,Others (specify),Public Administration,Others (specify),Civil servant,76.61,85.13,68.1,0,0,0,0,154.85,Hotel,Fragrance Hotel - Crystal,Spouse,Children aged 0-7 yrs,Parents/ Parents-in-law,Siblings,
357,2015,January,4-Jan-15,Indonesia,Batam,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,HCC,,English,No,Under 1 day,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",InfoComm Technology,Others (specify),Engineer,0,0,3.06,0,0,0,0,104.85,Accommodation not required - Day Tripper,,Alone,,,,
358,2015,January,4-Jan-15,Indonesia,Batam,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,HCC,,English,No,Under 1 day,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,0,10.73,18.39,0,0,0,0,104.85,Accommodation not required - Day Tripper,,Business associates/ Colleagues,,,,
359,2015,January,4-Jan-15,Indonesia,Jakarta,Leisure,To take or join a regional or international cruise,,HCC,,English,No,1 day,Packaged,Male,"Businessman (small company, <50 people)",Administrative and Support Service Activities,Director, ,200.12,18.87,6.29,0,0,0,0,159.85,Hotel,York Hotel,Spouse,Children aged 8-12 yrs,,,
360,2015,January,4-Jan-15,Indonesia,Jakarta,Leisure,Visiting friends/relatives,,HCC,,English,No,1 day,Non-Packaged,Male,"Businessman (medium size company, 50 -250 people)",InfoComm Technology,Director, ,227.51,107.26,61.29,0,0,0,0,154.85,Hotel,Moon 23 Hotel,Spouse,,,,
361,2015,January,4-Jan-15,Indonesia,Banjarmasin,Leisure,Holiday/ Rest & Relax,,HCC,,English,Yes,3 days,Non-Packaged,Female,Student,,, ,212.24,41.93,0,0,0,0,0,271.52,Hotel,Marina Bay Sands Singapore,Parents/ Parents-in-law,Siblings,,,
362,2015,January,4-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,,HCC,,English,Yes,1 day,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Healthcare and Biomedical Sciences,Others (specify),Doctor,163.53,37.74,40.25,0,0,0,0,104.85,Hotel,Fragrance Hotel - Riverside,Spouse,,,,
363,2015,January,4-Jan-15,Indonesia,Palembang,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,1 day,Packaged,Male,"Businessman (small company, <50 people)","Hospitality, Travel & Tourism",Mager/ Assistant Mager, ,77.87,108.34,32.5,0,0,0,0,104.85,Hotel,Bay Hotel Singapore,Spouse,Children aged 0-7 yrs,,,
364,2015,January,4-Jan-15,Indonesia,Batam,Leisure,Others,,HCC,,English,No,1 day,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Environment and Energy,Others (specify),Engineer,503.16,150.95,105.66,0,0,0,0,104.85,Service Apartment,,Friends,,,,
365,2015,January,4-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,No,4 days,Non-Packaged,Female,"Mager (CEO, company director, senior mager)","Hospitality, Travel & Tourism",Mager/ Assistant Mager, ,0,18.87,18.87,0,0,0,0,114.85,Stayed with relatives/ friends,,Friends,,,,
366,2015,January,4-Jan-15,Indonesia,Batam,Leisure,Holiday/ Rest & Relax,,HCC,,English,Yes,1 day,Non-Packaged,Male,"Blue collar (technician, hairdresser, hawker, taxi drivers etc)",Manufacturing and Chemicals,Others (specify),Operator,100.63,25.16,25.16,0,0,0,0,110.85,Hotel,Concorde Hotel Singapore,Parents/ Parents-in-law,Siblings,,,
398,2015,January,4-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,2 days,Non-Packaged,Male,"Businessman (small company, <50 people)",Fincial and Insurance Activities,Others (specify),Owner,536.3,367.75,114.92,0,0,0,0,854.85,Hotel,Mandarin Orchard Singapore,Parents/ Parents-in-law,,,,
399,2015,January,4-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,3 days,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Construction,Others (specify),Engineer,238.35,119.18,40.86,0,0,0,0,538.19,Hotel,Hotel Jen Tanglin Singapore,Parents/ Parents-in-law,,,,
400,2015,January,4-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,4 days,Non-Packaged,Male,"Businessman (small company, <50 people)",Wholesale and Retail Trade,Others (specify),Owner,766.14,64.36,30.65,0,0,0,0,904.85,Hotel,Mandarin Orchard Singapore,Spouse,Children aged 13-19 yrs,Children aged 0-7 yrs,,
403,2015,January,4-Jan-15,Indonesia,Surabaya,Leisure,Visiting friends/relatives,Terminal 2,,,English,No,3 days,Non-Packaged,Male,Student,,, ,0,102.15,25.54,0,0,0,0,289.85,Stayed with relatives/ friends,,Alone,,,,
409,2015,January,4-Jan-15,Indonesia,Jakarta,Healthcare+Accompanying Pax,Outpatient consultation/treatment,Terminal 2,,,English,No,2 days,Non-Packaged,Female,"Mager (CEO, company director, senior mager)",Wholesale and Retail Trade,Mager/ Assistant Mager, ,408.61,127.69,51.08,0,0,333.33,0,471.52,Hotel,Royal Plaza,Parents/ Parents-in-law,Siblings,,,
450,2015,January,5-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,6 days,Non-Packaged,Female,Student,,, ,775.6,76.61,38.31,0,0,0,0,104.85,Hotel,Marina Bay Sands Singapore,Siblings,,,,
452,2015,January,5-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,6 days,Non-Packaged,Female,Student,,, ,127.69,66.4,20.43,0,0,0,0,179.85,Hotel,New Cape Inn,Parents/ Parents-in-law,Siblings,,,
453,2015,January,5-Jan-15,Indonesia,Jakarta,Leisure,Visiting friends/relatives,Terminal 1,,,English,No,6 days,Non-Packaged,Male,Student,,, ,0,15.32,10.22,0,0,0,0,104.85,Stayed with relatives/ friends,,Alone,,,,
455,2015,January,5-Jan-15,Indonesia,Jakarta,Leisure,Visiting friends/relatives,Terminal 1,,,English,No,4 days,Non-Packaged,Female,Student,,, ,0,38.31,15.32,0,0,0,0,144.85,Stayed with relatives/ friends,,Siblings,,,,
457,2015,January,5-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,7 days,Non-Packaged,Male,Student,,, ,72.86,0,0,0,0,0,0,104.85,Hotel,Village Hotel Bugis,Parents/ Parents-in-law,Siblings,Grandparents/ Grandparents-in-law,,
458,2015,January,5-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,2 days,Non-Packaged,Female,Homemaker (Full time),,, ,357.53,229.84,51.08,0,0,0,0,744.85,Hotel,Equarius Hotel,Children aged 13-19 yrs,Children aged 8-12 yrs,,,
521,2015,January,6-Jan-15,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,5 days,Non-Packaged,Male,Student,,, ,147.18,20.43,10.22,0,0,0,0,304.85,Hotel,Ibis Singapore on Bencoolen,Parents/ Parents-in-law,Siblings,,,
522,2015,January,6-Jan-15,Indonesia,Surabaya,Leisure,Visiting an international student studying in Singapore,Terminal 1,,,English,No,3 days,Non-Packaged,Female,Others (specify),Wholesale and Retail Trade,Others (specify),Distributor,0,51.08,51.08,0,0,0,0,304.85,Stayed with relatives/ friends,,Alone,,,,
550,2015,January,6-Jan-15,Indonesia,Bandung,Leisure,Visiting friends/relatives,Terminal 1,,,English,No,1 day,Non-Packaged,Female,"Businessman (small company, <50 people)",Wholesale and Retail Trade,Others (specify),Co owner,0,15.32,67.42,0,0,0,0,124.85,Stayed with relatives/ friends,,Alone,,,,
551,2015,January,6-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,,,Tuas,English,No,2 days,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Fincial and Insurance Activities,Others (specify),Accountant,120.39,57.46,11.49,0,0,0,0,104.85,Hotel,Strand Hotel,Spouse,Children aged 0-7 yrs,Siblings,,
553,2015,January,6-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,,,Tuas,Malay,No,2 days,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Administrative and Support Service Activities,Others (specify),Recruitment Officer,0,61.29,15.32,0,0,0,0,104.85,Stayed with relatives/ friends,,Parents/ Parents-in-law,,,,
555,2015,January,6-Jan-15,Indonesia,East Java,Leisure,Visiting friends/relatives,,,Tuas,Malay,No,2 days,Non-Packaged,Female,Unemployed,,, ,0,12.58,6.29,0,0,0,0,104.85,Stayed with relatives/ friends,,Other relatives,,,,
557,2015,January,6-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,,,Tuas,Malay,No,2 days,Non-Packaged,Male,"Businessman (medium size company, 50 -250 people)",Manufacturing and Chemicals,Director, ,104.34,57.46,38.31,0,0,0,0,104.85,Hotel,V Hotel (Not Specified),Spouse,Children aged 0-7 yrs,Children aged 8-12 yrs,,
570,2015,January,7-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,2 days,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,General Mager, ,0,0,0,0,0,0,0,304.85,Stayed with relatives/ friends,,Alone,,,,
571,2015,January,7-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,Yes,3 days,Non-Packaged,Male,"Mager (CEO, company director, senior mager)",Administrative and Support Service Activities,Director, ,214.52,76.61,0,0,0,0,0,304.85,Hotel,Dorsett Singapore,Spouse,,,,
572,2015,January,7-Jan-15,Indonesia,Jakarta,Leisure,Visiting friends/relatives,Terminal 3,,,English,No,6 days,Non-Packaged,Female,"Executive (sales, administration)",Defence and Security,Board of Directors, ,0,0,0,0,0,0,0,804.85,Stayed with relatives/ friends,,Alone,,,,
588,2015,January,7-Jan-15,Indonesia,Java,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 1,,,English,No,1 day,Non-Packaged,Female,"Businessman (small company, <50 people)",Wholesale and Retail Trade,Director, ,383.07,61.29,91.94,0,0,280,0,304.85,Hotel,York Hotel,Children aged 8-12 yrs,,,,
589,2015,January,7-Jan-15,Indonesia,Yogyakarta,Business+Accompanying Pax,General business purpose,Terminal 1,,,English,Yes,2 days,Business (Non-Packaged),Male,"Executive (sales, administration)",InfoComm Technology,Senior Executive, ,275.81,91.94,76.61,0,0,0,0,104.85,Hotel,Hotel 81 - Princess,Alone,,,,
608,2015,January,7-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,3 days,Non-Packaged,Male,"Mager (CEO, company director, senior mager)",Manufacturing and Chemicals,Mager/ Assistant Mager, ,510.76,81.72,20.43,0,0,0,0,284.85,Hotel,Hotel Royal @ Queens,Alone,,,,
610,2015,January,7-Jan-15,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,5 days,Non-Packaged,Female,"Executive (sales, administration)",Fincial and Insurance Activities,Junior Executive, ,381.68,306.46,49.03,0,0,0,0,154.85,Hotel,"Swissotel The Stamford, Singapore",Spouse,,,,
615,2015,January,7-Jan-15,Indonesia,Jakarta,Leisure,Sightseeing/ Attractions,,,Tuas,English,Yes,3 days,Non-Packaged,Male,"Executive (sales, administration)",Social Sector,Others (specify),Sales,91.94,80.26,40.13,0,0,0,0,131.04,Hotel,Village Hotel Changi,Spouse,Children aged 8-12 yrs,,,
626,2015,January,7-Jan-15,Indonesia,Batam,Others/ Refused,"Others - Personal (e.g. weddings, funerals, etc)",,TMFT,,English,No,Under 1 day,Non-Packaged,Male,"Mager (CEO, company director, senior mager)",Environment and Energy,Mager/ Assistant Mager, ,0,47.5,16.86,0,0,0,0,104.85,Accommodation not required - Day Tripper,,Alone,,,,
628,2015,January,7-Jan-15,Indonesia,Tanjung Pinang,Healthcare+Accompanying Pax,Outpatient consultation/treatment,,TMFT,,Hybrid Chinese,No,3 days,Non-Packaged,Female,Unemployed,,, ,0,0,10.48,0,0,200,0,129.85,Stayed with relatives/ friends,,Parents/ Parents-in-law,,,,
641,2015,January,8-Jan-15,Indonesia,Bandung,Healthcare+Accompanying Pax,Outpatient consultation/treatment,Terminal 1,,,English,No,4 days,Non-Packaged,Male,"Executive (sales, administration)",Marketing & Media,Others (specify),Supervisor,315.46,45.97,22.98,0,0,"1,000.00",0,504.85,Hotel,Oxley Hotel 88,Alone,,,,
642,2015,January,8-Jan-15,Indonesia,Medan,Leisure,Visiting friends/relatives,Terminal 1,,,English,No,15-29 days,Non-Packaged,Female,Student,,, ,0,19.15,6.38,0,0,0,0,244.85,Stayed with relatives/ friends,,Siblings,,,,
697,2015,January,8-Jan-15,Indonesia,Jakarta,Leisure,Stopover,,,Tuas,Malay,No,1 day,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Education,Others (specify),Lecturer,85.81,45.97,15.32,0,0,0,0,104.85,Hotel,Victoria Hotel,Spouse,Children aged 0-7 yrs,Children aged 13-19 yrs,,
702,2015,January,8-Jan-15,Indonesia,Makassar,Others/ Refused,"Others - Work Related (e.g. visa, insurance, etc)",,,Tuas,English,No,1 day,Non-Packaged,Male,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)","Hospitality, Travel & Tourism",Others (specify),Tour leader,0,0,0,0,0,0,0,154.85,Hostel (Rental by bed),,Others,,,,
748,2015,January,9-Jan-15,Indonesia,Surabaya,Healthcare+Accompanying Pax,Outpatient consultation/treatment,Terminal 1,,,Chinese,No,4 days,Non-Packaged,Female,Retired,,, ,127.69,38.31,12.77,0,0,500,0,104.85,Service Apartment,,Other relatives,,,,
