case,Year,R.mth,date,Country_residence,City_residence,Purpose_grp,Purpose,Air_Terminal,Sea_Terminal,Land_Terminal,langint,1st_visit,length_stay,travel_type,f1_gender,f3_occupation,f4_industry,f5_designation,f5_designation.oth,totacc_$,totfnb_$,tottran_$,totbiz_$,totedu_$,totmedi_$,tototh_$,totshopping_$,MainAccomm,MainHotel,travel_companion.1,travel_companion.2,travel_companion.3,travel_companion.4,travel_companion.5
7235,2014,April,15-Apr-14,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,2 days,Non-Packaged,Male,"Mager (CEO, company director, senior mager)","Hospitality, Travel & Tourism",General Mager,,41.14,21.28,14.19,0,0,0,0,139.81,Hotel,Fragrance Hotel - Crystal,Spouse,Children aged 0-7 yrs,,,
7243,2014,April,15-Apr-14,Indonesia,Jakarta,Leisure,To shop/attend shopping events in Singapore,Terminal 3,,,English,No,4 days,Non-Packaged,Female,"Blue collar (technician, hairdresser, hawker, taxi drivers etc)",Others (specify),Others (specify),Hairdresser,269.52,53.19,17.73,0,0,0,0,1089.81,Hotel,Ibis Singapore on Bencoolen,Spouse,,,,
7244,2014,April,15-Apr-14,Indonesia,Jakarta,Education+Accompanying Pax,Skills development/skills training/vocational training,Terminal 3,,,English,No,5 days,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Fincial and Insurance Activities,Others (specify),Banker,300.99,0,0,0,0,0,0,119.81,Hotel,Park Hotel Clarke Quay,Business associates/ Colleagues,,,,
7246,2014,April,15-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,2 days,Business (Non-Packaged),Male,"Professiols (doctor, lawyer, lecturer, etc)",Fincial and Insurance Activities,Others (specify),Consultant,1039.31,0,35.46,0,0,0,0,239.81,Hotel,Singapore Marriott Hotel,Alone,,,,
7247,2014,April,15-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,1 day,Business (Non-Packaged),Male,"Mager (CEO, company director, senior mager)",Environment and Energy,Mager/ Assistant Mager,,752.87,170.22,85.11,0,0,0,0,144.81,Hotel,Mandarin Orchard Singapore,Alone,,,,
7268,2014,April,15-Apr-14,Indonesia,Yogyakarta,Business+Accompanying Pax,General business purpose,Terminal 1,,,English,No,1 day,Business (Non-Packaged),Male,"Mager (CEO, company director, senior mager)",Construction,General Mager,,1021.32,141.85,113.48,0,0,0,0,589.81,Hotel,Royal Plaza,Alone,,,,
7275,2014,April,15-Apr-14,Indonesia,Medan,Healthcare+Accompanying Pax,Outpatient consultation/treatment,Terminal 1,,,English,No,6 days,Non-Packaged,Male,Student,Others (specify),Others (specify),,0,66.2,12.61,0,0,1000,0,89.81,Stayed with relatives/ friends,,Parents/ Parents-in-law,Siblings,,,
7276,2014,April,15-Apr-14,Indonesia,Medan,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,1 day,Non-Packaged,Female,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Education,Others (specify),Teacher,226.96,85.11,113.48,0,0,0,0,339.81,Hotel,Hotel 81 (Not Specified),Alone,,,,
7277,2014,April,15-Apr-14,Indonesia,Padang,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,2 days,Non-Packaged,Female,Unemployed,Others (specify),Others (specify),,0,70.93,14.19,0,0,0,0,489.81,Stayed with relatives/ friends,,Alone,,,,
7278,2014,April,15-Apr-14,Indonesia,Medan,Healthcare+Accompanying Pax,Outpatient consultation/treatment,Terminal 1,,,English,No,1 day,Non-Packaged,Male,Student,Others (specify),Others (specify),,0,14.19,141.85,0,0,0,0,339.81,Stayed with relatives/ friends,,Alone,,,,
7279,2014,April,15-Apr-14,Indonesia,Medan,Business+Accompanying Pax,General business purpose,Terminal 1,,,English,No,4 days,Business (Non-Packaged),Male,"Businessman (small company, <50 people)",Accommodation and Food & Beverage-related activities,General Mager,,723.88,141.85,70.93,0,0,0,0,179.81,Hotel,Other Hotels,Parents/ Parents-in-law,Other relatives,,,
7290,2014,April,15-Apr-14,Indonesia,Surabaya,Leisure,Visiting friends/relatives,Terminal 1,,,English,No,30-59 days,Non-Packaged,Male,Retired,Others (specify),Others (specify),,0,0,0,0,0,0,0,89.81,Stayed with relatives/ friends,,Spouse,,,,
7291,2014,April,15-Apr-14,Indonesia,Surabaya,Leisure,Visiting friends/relatives,Terminal 1,,,English,No,3 days,Non-Packaged,Male,Student,Others (specify),Others (specify),,0,8.04,24.59,0,0,0,0,89.81,Stayed with relatives/ friends,,Alone,,,,
7292,2014,April,15-Apr-14,Indonesia,Surabaya,Leisure,Stopover,Terminal 1,,,English,No,1 day,Non-Packaged,Male,"Businessman (small company, <50 people)",Manufacturing and Chemicals,CEO/ Assistant CEO,,263.84,42.56,0,0,0,0,0,189.81,Hotel,Airport Transit Hotel,Alone,,,,
7293,2014,April,15-Apr-14,Indonesia,Surabaya,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 1,,,English,No,3 days,Non-Packaged,Female,"Professiols (doctor, lawyer, lecturer, etc)",Electronics & Precision Engineering,Mager/ Assistant Mager,,157.61,0,47.28,0,0,1000,0,1089.81,Hotel,Grand Park City Hall,Siblings,Other relatives,,,
7308,2014,April,15-Apr-14,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,4 days,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Fincial and Insurance Activities,Senior Executive,,425.55,531.94,177.31,0,0,0,0,89.81,Hotel,Mandarin Orchard Singapore,Spouse,Parents/ Parents-in-law,,,
7309,2014,April,15-Apr-14,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,Chinese,No,5 days,Non-Packaged,Female,"Blue collar (technician, hairdresser, hawker, taxi drivers etc)",Accommodation and Food & Beverage-related activities,Clerk/ Secretary/ Persol Assistant,,135.79,0,0,0,0,0,0,89.81,Hotel,Furama City Centre Singapore,Siblings,Other relatives,,,
7310,2014,April,15-Apr-14,Indonesia,Surabaya,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Day surgery,Terminal 1,,,English,No,6 days,Non-Packaged,Male,"Other White collar (Teacher, Nurse, secretary, receptionist, cashier etc)",Electronics & Precision Engineering,Senior Executive,,0,141.85,23.64,0,0,8900,0,189.81,Stayed with relatives/ friends,,Siblings,,,,
7311,2014,April,15-Apr-14,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,Yes,4 days,Non-Packaged,Female,Student,Others (specify),Others (specify),,63.83,0,0,0,0,0,0,109.81,Hotel,Madras Hotel Eminence,Parents/ Parents-in-law,Other relatives,,,
7312,2014,April,15-Apr-14,Indonesia,Makassar,Leisure,Visiting an international student studying in Singapore,Terminal 1,,,Chinese,No,4 days,Non-Packaged,Male,"Businessman (small company, <50 people)",Wholesale and Retail Trade,Director,,70.93,35.46,35.46,0,0,0,0,89.81,Hostel (Rental by bed),,Alone,,,,
7313,2014,April,16-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,3 days,Business (Non-Packaged),Female,"Mager (CEO, company director, senior mager)",Accommodation and Food & Beverage-related activities,Mager/ Assistant Mager,,744.81,0,0,0,0,0,0,197.81,Hotel,Marina Mandarin,Alone,,,,
7314,2014,April,16-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 3,,,Chinese,No,2 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,446.83,120.57,24.82,0,0,400,0,189.81,Hotel,Mandarin Orchard Singapore,Spouse,,,,
7315,2014,April,16-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,3 days,Business (Non-Packaged),Male,"Professiols (doctor, lawyer, lecturer, etc)",Environment and Energy,Others (specify),Engineer,447.42,47.28,18.91,0,0,0,0,159.81,Hotel,Ibis Singapore on Bencoolen,Alone,,,,
7318,2014,April,16-Apr-14,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,2 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,425.55,35.46,35.46,0,0,0,0,289.81,Hotel,Shangri-La Hotel,Children aged 0-7 yrs,,,,
7319,2014,April,16-Apr-14,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,3 days,Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,1080.7,222.65,105.86,0,0,0,0,689.81,Hotel,Concorde Hotel Singapore,Spouse,Children aged 8-12 yrs,Parents/ Parents-in-law,,
7320,2014,April,16-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Outpatient consultation/treatment,Terminal 3,,,English,No,2 days,Non-Packaged,Male,"Businessman (small company, <50 people)",Construction,Others (specify),Owner,411.37,49.65,28.37,0,0,450,0,189.81,Hotel,York Hotel,Spouse,,,,
7321,2014,April,16-Apr-14,Indonesia,Jakarta,Leisure,Holiday/ Rest & Relax,Terminal 3,,,English,No,3 days,Non-Packaged,Female,Student,Others (specify),Others (specify),,176.75,0,0,0,0,0,0,139.81,Hotel,V Hotel Lavender,Parents/ Parents-in-law,Grandparents/ Grandparents-in-law,,,
7332,2014,April,16-Apr-14,Indonesia,Surabaya,Healthcare+Accompanying Pax,Outpatient consultation/treatment,Terminal 1,,,English,No,2 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,567.4,70.93,42.56,0,0,900,0,89.81,Service Apartment,,Alone,,,,
7333,2014,April,16-Apr-14,Indonesia,Surabaya,Leisure,Holiday/ Rest & Relax,Terminal 1,,,English,No,1 day,Non-Packaged,Female,"Businessman (small company, <50 people)",Agriculture and Fishing,Others (specify),Entrepreneur,453.92,425.55,141.85,0,0,0,0,689.81,Hotel,Holiday Inn Singapore Orchard City Centre,Alone,,,,
7336,2014,April,16-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,2 days,Business (Non-Packaged),Male,"Mager (CEO, company director, senior mager)",Transportation and Logistics,Mager/ Assistant Mager,,1039.31,212.78,28.37,0,0,0,0,129.81,Hotel,Singapore Marriott Hotel,Alone,,,,
7337,2014,April,16-Apr-14,Indonesia,Jakarta,Business+Accompanying Pax,General business purpose,Terminal 3,,,English,No,2 days,Business (Non-Packaged),Female,"Professiols (doctor, lawyer, lecturer, etc)",Fincial and Insurance Activities,Others (specify),Accountant,376.43,0,0,0,0,0,0,228.81,Hotel,Mandarin Orchard Singapore,Business associates/ Colleagues,,,,
7339,2014,April,16-Apr-14,Indonesia,Jakarta,Healthcare+Accompanying Pax,Accompanying a Healthcare/medical visitor for Outpatient consultation/treat,Terminal 3,,,English,No,2 days,Non-Packaged,Female,Homemaker (Full time),Others (specify),Others (specify),,411.37,56.74,24.82,0,0,420,0,159.81,Hotel,The Elizabeth,Spouse,,,,
7346,2014,April,16-Apr-14,Indonesia,Jakarta,Education+Accompanying Pax,Skills development/skills training/vocational training,Terminal 3,,,English,No,6 days,Non-Packaged,Male,"Professiols (doctor, lawyer, lecturer, etc)",Environment and Energy,Others (specify),Engineer,157.16,23.64,0,0,0,0,0,129.81,Hotel,RELC International Hotel,Business associates/ Colleagues,,,,
